,Links,Words
67,https://medportal.ru/mednovosti/svet-v-spalne-vreden-dlya-zdorovya-novoe-issledovanie/,диабет
68,https://medportal.ru/mednovosti/akademik-aleksandr-chuchalin-pri-kovide-legkoe-nastolko-izur/,covid-19
69,https://medportal.ru/mednovosti/stels-omikron-ozhidat-li-novoy-volny-epidemii-covid-19/,covid-19
70,https://medportal.ru/mednovosti/voz-schitaet-chto-pandemiya-covid-19-esche-ne-zakonchilas/,covid-19
71,https://medportal.ru/mednovosti/vyrezat-ili-ne-vyrezat-appenditsit-mozhet-privesti-k-raku/,рак
72,https://medportal.ru/mednovosti/rossiyskie-vrachi-praktikuyut-novye-shemy-lecheniya-tyazhelyh-posl/,covid-19
73,https://medportal.ru/mednovosti/trevozhnost-i-depressiya-posle-tyazhelogo-covid/,covid-19
74,https://medportal.ru/mednovosti/passivnoe-kurenie/,рак
75,https://medportal.ru/mednovosti/voz-konflikt-v-ukraine-mozhet-usugubit-pandemiyu-covid-19/,covid-19
76,https://medportal.ru/mednovosti/kak-spravitsya-s-bespokoystvom-4-soveta-psihiatra/,covid-19
77,https://medportal.ru/mednovosti/pyanstvo-v-ranney-molodosti-mozhet-sposobstvovat-razvitiyu-ra/,рак
78,https://medportal.ru/mednovosti/the-lancet-chislo-pogibshih-ot-covid/,covid-19
79,https://medportal.ru/mednovosti/uchenye-dokazali-chto-covid/,covid-19
80,https://medportal.ru/mednovosti/u-treti-patsientov-posle-legkogo-covid/,covid-19
81,https://medportal.ru/mednovosti/uchenye-podtverzhdayut-chto-vino-vo-vremya-edy-snizhaet-risk-diab/,диабет
82,https://medportal.ru/mednovosti/rasslabtes-i-dyshite-glubzhe-v-chem-polza-meditatsii/,диабет
83,https://medportal.ru/mednovosti/minzdrav-rossii-zaregistriroval-ateriksen-novyy-effektiv/,орви
84,https://medportal.ru/mednovosti/vaktsiny-ot-covid/,covid-19
85,https://medportal.ru/mednovosti/deti-s-covid/,covid-19
86,https://medportal.ru/mednovosti/chekap-dlya-nego-kakie-onkomarkery-ukazhut-na-muzhskie-opuho/,рак
87,https://medportal.ru/mednovosti/chem-opasno-samolechenie-covid/,covid-19
88,https://medportal.ru/mednovosti/bolezn-krona-i-yazvennyy-kolit-znachitelno-povyshayut-risk-pos/,covid-19
89,https://medportal.ru/mednovosti/begom-ot-omikrona-mozhno-li-vozvraschatsya-v-sportzal/,орви
90,https://medportal.ru/mednovosti/otzyvchivost-materi-umenshaet-risk-razvitiya-ozhireniya-u-detey/,диабет
91,https://medportal.ru/mednovosti/kak-lechat-koronavirus-v-ssha-rasskazyvaet-reanimatolog-evgen/,диабет
92,https://medportal.ru/mednovosti/ne-publikovat-psihiatr-kristo-van-meer-o-prichinah-postkov/,covid-19
93,https://medportal.ru/mednovosti/uchenye-rasskazali-o-povyshennom-riske-psihicheskih-rasstroystv/,covid-19
94,https://medportal.ru/mednovosti/u-kazhdogo-tretiego-pozhilogo-cheloveka-diagnostiruyut-novye-zab/,covid-19
95,https://medportal.ru/mednovosti/privivka-ot-covid-ee8fffb0-9bb1-4164-b1bb-2f5788c4399a/,covid-19
96,https://medportal.ru/mednovosti/v-moskve-ne-nashlos-detey-6-11-let-bez-antitel-k-covid/,covid-19
97,https://medportal.ru/mednovosti/5-faktov-o-detskih-onkozabolevaniyah-kotorye-neobhodimo-znat/,рак
98,https://medportal.ru/mednovosti/v-rossii-nachalis-klinicheskie-ispytaniya-nazalnoy-vaktsiny-ot/,covid-19
99,https://medportal.ru/mednovosti/posle-legkogo-covid/,covid-19
100,https://medportal.ru/mednovosti/fizicheskie-uprazhneniya-povyshayut-antitela-posle-vaktsinatsii/,covid-19
101,https://medportal.ru/mednovosti/omikron-na-poroge-kak-zaschitit-immunitet-v-novoy-volne-covi/,covid-19
102,https://medportal.ru/mednovosti/kak-pandemiya-vliyaet-na-nash-mozg/,covid-19
103,https://medportal.ru/mednovosti/voz-smert-500-000-lyudey-ot-omikrona-eto-bolshe-chem-trage/,covid-19
104,https://medportal.ru/mednovosti/rossiyskie-uchenye-oprovergli-negativnoe-vliyanie-covid/,covid-19
105,https://medportal.ru/mednovosti/zhenschiny-kurilschiki-i-pyuschie-chasche-teryayut-obonyanie-i-vkus-iz/,covid-19
106,https://medportal.ru/mednovosti/bolshoy-ves-snizhaet-skorost-obrabotki-informatsii-uchenye/,диабет
107,https://medportal.ru/mednovosti/v-rossii-zaregistrirovali-lekarstvo-ot-covid/,covid-19
108,https://medportal.ru/mednovosti/suhoy-kashel-i-odyshka-posle-covid/,covid-19
109,https://medportal.ru/mednovosti/o-vaktsinah-i-vaktsinatsii/,covid-19
110,https://medportal.ru/mednovosti/eksperimenty-s-zarazheniem-lyudey-podtverdili-neobhodimost-10/,covid-19
111,https://medportal.ru/mednovosti/uchenye-predlozhili-ispolzovat-pilyuli-dlya-vaktsinatsii-cherez-zh/,covid-19
112,https://medportal.ru/mednovosti/vaktsinatsiya-snizhaet-risk-razvitiya-postkovidnogo-sindroma-v-sl/,covid-19
113,https://medportal.ru/mednovosti/risk-ishemicheskogo-insulta-u-molodyh-zhenschin-okazalsya-vyshe-po/,инсульт
114,https://medportal.ru/mednovosti/risk-zarazheniya-covid-c0241fb6-8935-4ac3-9558-8448017c4b54/,covid-19
115,https://medportal.ru/mednovosti/gospitalizatsiya-iz-za-covid/,covid-19
116,https://medportal.ru/mednovosti/nazvany-chetyre-faktora-riska-razvitiya-postkovidnogo-sindroma/,covid-19
117,https://medportal.ru/mednovosti/kozhnaya-syp-u-rebenka-koronavirus-ili-prosto-allergiya/,covid-19
118,https://medportal.ru/mednovosti/chto-delat-esli-u-rebenka-podnyalas-temperatura-instruktsiya/,covid-19
119,https://medportal.ru/mednovosti/v-moskve-iz-26edc3a9-8385-4d1f-8b39-282b242f81d8/,covid-19
120,https://medportal.ru/mednovosti/uzhas-bez-kontsa-vo-vremya-pandemii-lyudi-stali-chasche-videt-noch/,covid-19
121,https://medportal.ru/mednovosti/schastlivye-geny-zaschischayut-lyudey-s-ozhireniem-ot-nekotoryh-bo/,инсульт
122,https://medportal.ru/mednovosti/5-samyh-prichin-privit-svoego-rebenka-ot-covid/,covid-19
123,https://medportal.ru/mednovosti/depressiya-sdelala-lyudey-nedoverchivymi-k-privivkam/,covid-19
124,https://medportal.ru/mednovosti/zhenschiny-ispytyvayut-ustalost-i-razocharovanie-ot-pandemii-chasch/,covid-19
125,https://medportal.ru/mednovosti/vaktsinatsiya-protiv-covid-ee80ab71-2ff8-4da4-8df4-3ea6d4e6ec2d/,covid-19
126,https://medportal.ru/mednovosti/u-bratiev-i-sester-lyudey-s-bipolyarnym-rasstroystvom-povyshen/,рак
127,https://medportal.ru/mednovosti/zelenyy-chay-pomogaet-v-borbe-s-covid-19-yaponskie-uchenye/,covid-19
128,https://medportal.ru/mednovosti/ne-menee-13-lyudey-s-covid/,covid-19
129,https://medportal.ru/mednovosti/rossiyskiy-preparat-longidaza-poluchil-patent-na-territori/,covid-19
130,https://medportal.ru/mednovosti/spinnoy-mozg-priotkryl-zagadku-plohoy-pamyati-posle-covid-19/,covid-19
131,https://medportal.ru/mednovosti/problemy-s-pamyatyu-mogut-byt-edinstvennym-simptomom-dlitel/,covid-19
132,https://medportal.ru/mednovosti/dannye-o-povyshennoy-uyazvimosti-muzhchin-k-covid/,covid-19
133,https://medportal.ru/mednovosti/na-effekt-notsebo-prihoditsya-76-pobochnyh-effektov-vaktsinats/,covid-19
134,https://medportal.ru/mednovosti/sobaki-mogut-opredelyat-postkovidnyy-sindrom-po-zapahu-pota/,covid-19
135,https://medportal.ru/mednovosti/v-rossii-sokratili-srok-samoizolyatsii-po-covid/,covid-19
136,https://medportal.ru/mednovosti/u-rodivshihsya-vo-vremya-pandemii-mladentsev-obnaruzhili-priznaki/,covid-19
137,https://medportal.ru/mednovosti/stalo-tyazhelo-hodit-i-vstavat-so-stula-dazhe-legkiy-covid/,covid-19
138,https://medportal.ru/mednovosti/beremennye-s-covid-9ae7586a-271d-4912-acf0-b7bbbd1d31d2/,covid-19
139,https://medportal.ru/mednovosti/hrap-vo-vremya-beremennosti-svyazali-s-povyshennym-riskom-predi/,диабет
140,https://medportal.ru/mednovosti/obnaruzhen-gen-zaschischayuschiy-ot-covid-19/,covid-19
141,https://medportal.ru/mednovosti/lyudi-v-maskah-kazhutsya-bolee-privlekatelnymi-chem-s-otkrytym/,covid-19
142,https://medportal.ru/mednovosti/zhir-okazalsya-polezen-pri-diabete-2-tipa/,диабет
143,https://medportal.ru/mednovosti/koronagripp-ili-flurona-zhdet-li-rossiyu-vsplesk-odnovremenno/,орви
144,https://medportal.ru/mednovosti/eda-so-vkusom-tryapki-pochemu-covid/,covid-19
145,https://medportal.ru/mednovosti/uchenye-predpolagayut-chto-obychnaya-prostuda-mozhet-zaschitit-ot/,covid-19
146,https://medportal.ru/mednovosti/antitela-posle-privivki-ot-covid/,covid-19
147,https://medportal.ru/mednovosti/v-ssha-odobrena-busternaya-vaktsina-ot-covid-19-dlya-podrostkov/,covid-19
148,https://medportal.ru/mednovosti/kakie-obsledovaniya-proyti-posle-covid/,covid-19
149,https://medportal.ru/mednovosti/v-pandemiyu-uvelichilos-kolichestvo-akusherskogo-nasiliya-ross/,covid-19
150,https://medportal.ru/mednovosti/v-rossii-zaregistrirovali-preparat-ot-covid/,covid-19
151,https://medportal.ru/mednovosti/vaktsiny-ot-covid-19-ot-mogut-byt-svyazany-s-miokarditom/,covid-19
152,https://medportal.ru/mednovosti/omikron-vyzyvaet-menshe-simptomov-pri-povtornom-zarazhenii-po/,covid-19
153,https://medportal.ru/mednovosti/planirovanie-beremennosti-vozmozhno-uzhe-cherez-28-dney-posle-v/,covid-19
154,https://medportal.ru/mednovosti/uchenye-svyazali-sahar-s-razvitiem-psihicheskih-rasstroystv/,диабет
155,https://medportal.ru/mednovosti/v-ssha-sokraschen-srok-izolyatsii-s-koronavirusom-do-5-dney/,covid-19
156,https://medportal.ru/mednovosti/o-kakih-boleznyah-govorit-nalet-na-yazyke/,covid-19
157,https://medportal.ru/mednovosti/uchenye-nashli-antitela-k-omikronu/,covid-19
158,https://medportal.ru/mednovosti/uchenye-anonsiruyut-edinuyu-vaktsinu-ot-grippa/,covid-19
159,https://medportal.ru/mednovosti/covid-19-obnaruzhen-u-oleney-v-ssha/,covid-19
160,https://medportal.ru/mednovosti/zhirovaya-molekula-mozhet-stat-lekarstvom-ot-vich-i-spida/,спид
161,https://medportal.ru/mednovosti/v-anglii-vyyavili-rezkiy-rost-zabolevaemosti-covid/,covid-19
162,https://medportal.ru/mednovosti/evropa-zakryvaet-bary-i-perehodit-na-udalenku-iz-za-omikrona/,covid-19
163,https://medportal.ru/mednovosti/kak-reshitsya-na-vaktsinatsiyu-rebenka-ot-koronavirusa/,covid-19
164,https://medportal.ru/mednovosti/voz-prizyvaet-otmenit-novogodnie-meropriyatiya-iz-za-omikron/,covid-19
165,https://medportal.ru/mednovosti/izrail-rekomenduet-pensioneram-i-medikam-privivatsya-chetver/,covid-19
166,https://medportal.ru/mednovosti/sobaki-okazalis-luchshimi-vrachami-psihicheskogo-zdorovya-svo/,covid-19
167,https://medportal.ru/mednovosti/p-g-otzyvaet-suhie-shampuni-iz-za-benzola/,рак
168,https://medportal.ru/mednovosti/minzdrav-vnes-vaktsinatsiyu-podrostkov-ot-covid/,covid-19
169,https://medportal.ru/mednovosti/kazhdyy-tretiy-patsient-ne-chuvstvuet-sebya-zdorovym-spustya-god/,covid-19
170,https://medportal.ru/mednovosti/mamy-stali-menshe-kormit-detey-grudyu-iz-za-covid-19/,covid-19
171,https://medportal.ru/mednovosti/epilepsiya-v-1-5-raza-povyshaet-risk-smerti-ot-covid-19/,covid-19
172,https://medportal.ru/mednovosti/osobaya-kategoriya-vrachi-iz-yaponii-i-rf-obsudili-problemy-l/,рак
173,https://medportal.ru/mednovosti/bolee-40-lyudey-perenosyat-covid-19-bessimptomno/,covid-19
174,https://medportal.ru/mednovosti/lyudi-s-trombozom-chasche-umirayut-ot-covid/,covid-19
175,https://medportal.ru/mednovosti/omikron-v-70-raz-bystree-razmnozhaetsya-v-bronhah-chem-delta/,covid-19
176,https://medportal.ru/mednovosti/argentinskie-uchenye-ne-podtverdili-effektivnost-sputnik-v/,covid-19
177,https://medportal.ru/mednovosti/delo-s-dushkom-kak-lyudi-teryayut-obonyanie-iz-za-covid-19/,covid-19
178,https://medportal.ru/mednovosti/eto-lotereya-vrach/,covid-19
179,https://medportal.ru/mednovosti/pochemu-lyudi-s-lishnim-vesom-chasche-umirayut-ot-sovid/,covid-19
180,https://medportal.ru/mednovosti/odyshka-posle-covid/,covid-19
181,https://medportal.ru/mednovosti/dva-dnya-hodit-dve-nedeli-doma-pochemu-deti-v-sadike-vse-vr/,орви
182,https://medportal.ru/mednovosti/bolee-100-tysyach-rubley-stoit-lechenie-1-patsienta-s-koronaviru/,covid-19
183,https://medportal.ru/mednovosti/v-ssha-vyyavili-bespretsedentnye-pokazateli-bessonnitsy-u-meditsi/,covid-19
184,https://medportal.ru/mednovosti/merck-i-pfizer-zaregistriruyut-preparaty-ot-covid/,covid-19
185,https://medportal.ru/mednovosti/omikron/,covid-19
186,https://medportal.ru/mednovosti/voz-rekomendovala-ne-primenyat-perelivanie-plazmy-dlya-spasen/,covid-19
187,https://medportal.ru/mednovosti/prizrak-covid/,covid-19
188,https://medportal.ru/mednovosti/voz-priznala-omikron-menee-opasnym-shtammom-covid-19/,covid-19
189,https://medportal.ru/mednovosti/rospotrebnadzor-zayavil-o-povyshenii-zabolevaemosti-grippom-v/,орви
190,https://medportal.ru/mednovosti/kurenie-i-alkogol-snizhayut-uroven-antitel-posle-vaktsinatsii/,covid-19
191,https://medportal.ru/mednovosti/polovina-rossiyskih-vrachey-vystupila-protiv-obyazatelnoy-vak/,covid-19
192,https://medportal.ru/mednovosti/implanty-iz-stvolovyh-kletok-pomogli-vydelit-insulin-patsien/,диабет
193,https://medportal.ru/mednovosti/deti-s-ploho-kontroliruemoy-astmoy-okazalis-v-gruppe-vysoko/,covid-19
194,https://medportal.ru/mednovosti/posle-tyazhelogo-covid/,covid-19
195,https://medportal.ru/mednovosti/gepatit-b-mozhet-izmenyat-dnk-kletok-pecheni-za-gody-do-vyyavle/,рак
196,https://medportal.ru/mednovosti/u-1-iz-100-patsientov-posle-covid/,диабет
197,https://medportal.ru/mednovosti/delta-variant-stal-li-novyy-shtamm-sars-cov/,covid-19
198,https://medportal.ru/mednovosti/eto-vozmozhnost-a-ne-povinnost-pediatr-sergey-butriy-o/,covid-19
199,https://medportal.ru/mednovosti/favipiravir-okazalsya-absolyutno-bespolezen-dlya-ambulatornyy-p/,covid-19
200,https://medportal.ru/mednovosti/sluchai-povtornogo-zarazheniya-covid/,covid-19
201,https://medportal.ru/mednovosti/kogda-mozhno-vernutsya-k-trenirovkam-posle-covid-19/,covid-19
202,https://medportal.ru/mednovosti/aspirin-svyazan-s-povyshennym-riskom-serdechno/,диабет
203,https://medportal.ru/mednovosti/deti-s-oslablennym-immunitetom-okazalis-ne-podverzheny-vysok/,covid-19
204,https://medportal.ru/mednovosti/nayden-novyy-kandidat-na-rol-pervogo-zarazhennogo-covid-19/,covid-19
205,https://medportal.ru/mednovosti/molodezh-chasche-verit-v-uluchshenie-mira-no-bolshe-stradaet-ot/,covid-19
206,https://medportal.ru/mednovosti/dadut-li-zarubezhnym-vaktsinam-zelyonyy-svet-v-rossii/,covid-19
207,https://medportal.ru/mednovosti/noshenie-maski-vdvoe-snizhaet-risk-zarazheniya-covid-19/,covid-19
208,https://medportal.ru/mednovosti/perenesennyy-koronavirus-v-tri-raza-uvelichivaet-risk-narushen/,covid-19
209,https://medportal.ru/mednovosti/kak-otlichit-kovidnuyu-pnevmoniyu-ot-bakterialnoy/,covid-19
210,https://medportal.ru/mednovosti/deksametazon-ne-uvelichivaet-smertnost-diabetikov-s-covid-19/,covid-19
211,https://medportal.ru/mednovosti/idyot-otliv-uchyonyy-zayavil-ob-okonchanii-chetvyortoy-volny-cov/,covid-19
212,https://medportal.ru/mednovosti/uchenye-nazvali-vozmozhnuyu-prichinu-vysokogo-riska-oslozhneniy-c/,диабет
213,https://medportal.ru/mednovosti/perenesennyy-v-rannem-vozraste-rak-v-pyat-raz-uvelichivaet-ve/,рак
214,https://medportal.ru/mednovosti/populyarnye-antidepressanty-pochti-na-tret-snizili-smertnost/,covid-19
215,https://medportal.ru/mednovosti/geparin-mozhet-spasti-ot-smerti-tyazhelyh-patsientov-s-covid-19/,covid-19
216,https://medportal.ru/mednovosti/pandemiya-usilila-simptomy-depressii-pochti-u-poloviny-patsient/,covid-19
217,https://medportal.ru/mednovosti/narusheniya-dyhaniya-vo-sne-na-tret-uvelichivayut-risk-gospitali/,covid-19
218,https://medportal.ru/mednovosti/v-moskve-nachalas-finalnaya-faza-ispytaniy-vaktsiny-ot-covid/,covid-19
219,https://medportal.ru/mednovosti/lekarstva-dlya-astmatikov-pokazali-effektivnost-pri-legkom-t/,covid-19
220,https://medportal.ru/mednovosti/95-detey-s-onkozabolevaniyami-polnostyu-vyzdoravlivayut-ot-co/,covid-19
221,https://medportal.ru/mednovosti/deti-do-12-let-okazalis-samymi-opasnymi-rasprostranitelyami/,covid-19
222,https://medportal.ru/mednovosti/singapur-ob-yavil-ob-otkaze-besplatno-lechit-nevaktsinirovanny/,covid-19
223,https://medportal.ru/mednovosti/veypery-imeyut-povyshennyy-risk-insulta-v-molodom-vozraste-po/,инсульт
224,https://medportal.ru/mednovosti/chto-izvestno-o-volshebnoy-tabletke-pfizer-ot-koronavirusa/,covid-19
225,https://medportal.ru/mednovosti/covid-1f805a4f-0b29-4627-9819-bc0a3f0171b5/,covid-19
226,https://medportal.ru/mednovosti/tsink-pri-prostude-mozhet-nemnogo-pomoch-no-neizvestno-kak/,орви
227,https://medportal.ru/mednovosti/prizrak-pandemii-grippa-1968-goda-snizil-smertnost-ot-cov/,covid-19
228,https://medportal.ru/mednovosti/nedavnyaya-himioterapiya-na-84-povyshaet-risk-smerti-ot-covid/,covid-19
229,https://medportal.ru/mednovosti/delta-variant-sars-cov/,covid-19
230,https://medportal.ru/mednovosti/u-treti-lyudey-s-rakom-krovi-ne-vyrabatyvayutsya-antitela-k-sar/,рак
231,https://medportal.ru/mednovosti/beremennye-s-covid/,covid-19
232,https://medportal.ru/mednovosti/pervuyu-v-svoem-rode-vaktsinu-protiv-raka-molochnoy-zhelezy-ispy/,рак
233,https://medportal.ru/mednovosti/antidepressant-snizhaet-risk-gospitalizatsii-i-smerti-pri-covi/,covid-19
234,https://medportal.ru/mednovosti/risk-razvitiya-sindroma-giyena/,covid-19
235,https://medportal.ru/mednovosti/privitye-ot-grippa-patsienty-s-covid/,covid-19
236,https://medportal.ru/mednovosti/slova-ne-nravitsya-uvolnyaysya-slyshat-v-svoy-adres-okolo-7/,covid-19
237,https://medportal.ru/mednovosti/storonniki-teoriy-zagovora-o-covid/,covid-19
238,https://medportal.ru/mednovosti/sars-cov-a4162c2d-8ae6-41e3-805c-707ff12dc5b6/,covid-19
239,https://medportal.ru/mednovosti/privivka-ot-covid/,covid-19
240,https://medportal.ru/mednovosti/aspirin-i-antikoagulyanty-ne-spasayut-ot-insulta-pozhilyh-patsi/,covid-19
241,https://medportal.ru/mednovosti/ne-tolko-covid/,орви
242,https://medportal.ru/mednovosti/zhenschina-s-onkozabolevaniem-borolas-s-koronavirusom-335-dney/,covid-19
243,https://medportal.ru/mednovosti/chetvertaya-volna-na-pike-v-rossii-ob-yavlen-mini/,covid-19
244,https://medportal.ru/mednovosti/virus-i-chelovek-kak-sozdat-barier/,covid-19
245,https://medportal.ru/mednovosti/elikvis-i-aspirin-okazalis-bespoleznymi-dlya-ambulatornyh-pa/,covid-19
246,https://medportal.ru/mednovosti/pandemiya-snizila-dostupnost-lekarstv-ot-dementsii-v-bolshins/,covid-19
247,https://medportal.ru/mednovosti/izbytochnaya-smertnost-kak-v-gvatemale-demograf-katastrofe/,covid-19
248,https://medportal.ru/mednovosti/alkogol-kurenie-i-narkotiki-udvaivayut-risk-zarazheniya-covid/,covid-19
249,https://medportal.ru/mednovosti/minzdrav-rekomendoval-lechenie-monoklonalnymi-antitelami-dlya/,covid-19
