,Words,Frequency
723,посетителям,33
724,популярных,170
725,упражнениях,33
726,посещаемость,12
727,тренажерного,24
728,зала,16
729,увеличилась,220
730,минуты,2922
731,эффективное,165
732,средство,280
733,генетическая,192
734,структура,126
735,меняетя,7
736,фармпроизводителям,18
737,пересматривать,28
738,антигенный,30
739,состав,240
740,противогриппозных,85
741,привиться,207
742,прошлогодней,36
743,вакциной,368
744,просто,1110
745,сработать,27
746,делаете,42
747,иммунная,528
748,система,868
749,вырабатывает,156
750,антитела,1448
751,включенных,150
752,антител,1064
753,временем,664
754,снизиться,36
755,кому,200
756,рекомендована,156
757,граждан,476
758,старше,1080
759,важна,170
760,высоким,847
761,риском,894
762,младше,198
763,взрослые,256
764,жители,150
765,домов,70
766,учреждений,360
767,ухода,85
768,беременные,270
769,планирующие,11
770,беременность,396
771,ослабленной,55
772,системой,280
773,принимающие,44
774,аспирин,112
775,препараты,1971
776,содержащие,220
777,салицилат,9
778,страдающие,160
779,хроническими,732
780,астма,130
781,болезни,4207
782,сердца,1062
783,почек,415
784,печени,690
785,диабет,1512
786,индексом,120
787,массы,320
788,тела,688
789,имт,117
790,детям,435
791,потребоваться,221
792,две,525
793,интервалом,140
794,первой,870
795,смогут,330
796,получать,432
797,разовые,7
798,лечащим,42
799,врачом,480
800,ребенка,1078
801,разница,301
802,бесплатными,11
803,платными,8
804,вакцинами,216
805,является,2240
806,ежегодное,72
807,обновление,40
808,заговором,18
809,фармпроизводителей,54
810,следущие,8
811,хронические,638
812,увеличить,522
813,рак,1083
814,лечение,2317
815,рака,1460
816,хроническая,396
817,обструктивная,130
818,болезнь,1750
819,легких,1770
820,хобл,64
821,муковисцидоз,12
822,головного,423
823,мозга,865
824,нервной,245
825,вич,261
826,состояния,1404
827,лечатся,98
828,путем,510
829,снижения,760
830,активности,1050
831,ожирение,824
832,включая,1645
833,любой,540
834,хроническим,275
835,заболеванием,972
836,должен,762
837,живущие,35
838,домах,75
839,учреждениях,495
840,должны,1566
841,прежде,438
842,своим,350
843,тем,1476
844,кого,328
845,надо,488
846,учитывать,306
847,реакции,567
848,связаны,1113
849,аллергия,64
850,яйца,48
851,вызвать,658
852,респираторные,455
853,нет,1347
854,заразить,208
855,увеличивает,1210
856,гриппоподобные,28
857,симптомы,2472
858,несмотря,1184
859,многим,216
860,причинам,344
861,дня,405
862,мышечные,128
863,боли,356
864,жар,21
865,побочным,88
866,эффектом,144
867,выработки,279
868,организмом,170
869,защитных,232
870,двухнедельное,13
871,окно,44
872,подействовала,13
873,полную,174
874,силу,144
875,требуется,1125
876,подверглись,77
877,незадолго,63
878,времени,2009
879,несовпадающие,13
880,годы,496
881,используемые,240
882,соответствуют,286
883,вирусам,126
884,распространяющимся,18
885,произойдет,110
886,обеспечить,580
887,некоторую,72
888,защиту,426
889,многие,1488
890,простуда,136
891,имеют,835
892,таким,1180
893,образом,1820
894,думать,150
895,самом,500
896,деле,332
897,какую,105
898,обеспечивает,360
899,обзоры,42
900,прошлых,35
901,исследований,5220
902,показали,2080
903,примерно,2040
904,здоровых,704
905,взрослых,1680
906,иногда,696
907,стандартная,66
908,правило,812
909,моложе,132
910,пожилых,679
911,определенными,208
912,иммунитет,1440
913,предотвращает,299
914,полностью,1449
915,уменьшить,387
916,тяжесть,315
917,требующих,99
918,госпитализации,2016
919,сегодня,1372
920,стало,645
921,известно,2304
922,россии,2754
923,уйдет,40
924,популярный,150
925,препарат,1440
926,зепатир,14
927,уведомил,8
928,американский,348
929,фармпроизводитель,17
930,отметим,399
931,госзакупок,70
932,связанных,864
933,лечением,352
934,ежегодно,984
935,тратится,40
936,млрд,40
937,руб,15
938,бюджета,161
939,коммерсантъ,22
940,росздравнадзор,98
941,компания,504
942,обязана,28
943,уведомить,9
944,прекращении,77
945,поставок,64
946,минимум,1001
947,остановки,90
948,импорта,14
949,данное,78
950,решение,665
951,никак,435
952,повлияет,80
953,поставки,112
954,запланированные,15
955,врачи,1480
956,уверяют,14
957,рынке,165
958,достаточно,1720
959,других,2640
960,лекарств,1120
961,точных,114
962,аналогов,80
963,используют,520
964,первого,721
965,третьего,160
966,четвертого,90
967,генотипов,9
968,одним,545
969,самых,730
970,препаратов,2340
971,гепатит,364
972,тяжелое,350
973,воспалительное,42
974,заболевание,2552
975,которое,2044
976,вызывается,140
977,одноименным,11
978,острая,138
979,формы,400
980,хронический,297
981,вариант,364
982,опасным,308
983,развивается,1562
984,заболевших,1310
985,угрожает,48
986,серьезными,230
987,осложнениями,672
988,вплоть,174
989,летального,270
990,исхода,258
991,можно,1710
992,необходим,297
993,контакт,252
994,инфицированной,126
995,кровью,138
996,реже,628
997,источником,320
998,могут,2465
999,выступать,36
1000,биологические,351
1001,жидкости,336
1002,сперма,24
1003,слезная,7
1004,жидкость,88
1005,слюна,10
1006,вагинальный,22
1007,секрет,72
1008,смазка,6
1009,частые,132
1010,причины,833
1011,манипуляции,88
1012,стоматолог,50
1013,операции,840
1014,вмешательства,481
1015,употребление,660
1016,инъекционных,72
1017,наркотиков,260
1018,косметические,13
1019,процедуры,342
1020,связанные,693
1021,травмами,48
1022,кожи,496
1023,татуаж,6
1024,незащищенные,36
1025,половые,126
1026,быту,36
1027,зубные,36
1028,щетки,25
1029,бритва,6
1030,вертикальная,24
1031,матери,456
1032,ребенку,315
1033,воз,672
1034,свыше,200
1035,инфицированных,1638
1036,знают,375
1037,своем,640
1038,диагнозе,152
1039,терапию,819
1040,получают,560
1041,меньше,1590
1042,лишь12–14%,10
1043,наша,184
1044,страна,144
1045,относится,369
1046,странам,70
1047,уровнем,637
1048,регистрируется,420
1049,новых,890
1050,евченко,3458
1051,оценить,868
1052,неврологи,63
1053,института,1116
1054,клинической,935
1055,медицины,1232
1056,орхусского,20
1057,проанализировали,4224
1058,жителей,686
1059,дании,130
1060,перенесших,490
1061,инсульт,847
1062,представлены,456
1063,ежегодном,54
1064,собрании,40
1065,американского,663
1066,общества,728
1067,передает,352
1068,диагностирована,360
1069,эпилепсия,72
1070,средний,735
1071,участников,2980
1072,половина,640
1073,мужчины,854
1074,большая,679
1075,часть,775
1076,перенесла,72
1077,ишемический,220
1078,остальные,567
1079,транзиторную,12
1080,ишемическую,33
1081,атаку,30
1082,геморрагический,120
1083,оценили,574
1084,совокупную,10
1085,заболеваемость,1512
1086,эпилепсией,80
1087,когорте,252
1088,классифицировали,32
1089,тяжести,630
1090,инсульта,888
1091,выявлена,208
1092,тысячи,756
1093,геморрагического,32
1094,состояние,1935
1095,относительно,768
1096,легко,570
1097,вдвое,350
1098,ниже,984
1099,ишемического,132
1100,легкого,518
1101,каждая,204
1102,секунда,28
1103,счету,60
1104,первая,426
1105,инсульте,136
1106,коротко,49
1107,ясно,116
1108,рассказываем,96
1109,распознать,240
1110,действовать,319
1111,чего,484
1112,делать,1206
1113,коем,104
1114,примечательно,585
1115,последующие,165
1116,снижалась,126
1117,группах,819
1118,исчезала,8
1119,тяжелых,931
1120,гематомах,9
1121,спустя,798
1122,удивлен,28
1123,сохраняется,583
1124,значительный,276
1125,риск,1428
1126,большинство,2189
1127,предыдущих,490
1128,описывали,90
1129,начало,300
1130,постинсультной,14
1131,основном,728
1132,двух,888
1133,ведущий,868
1134,маддс,5
1135,эббесен,7
1136,рамках,768
1137,изучали,168
1138,биологический,65
1139,механизм,648
1140,взаимосвязи,154
1141,предположили,852
1142,рубцы,10
1143,аномальную,10
1144,электрическую,39
1145,активность,1150
1146,мозге,220
1147,высокой,812
1148,вероятности,495
1149,появления,972
1150,судорог,14
1151,советовать,50
1152,пациентам,2043
1153,семьям,36
1154,внимательно,319
1155,следить,350
1156,малозаметными,13
1157,эпизодами,27
1158,необычных,36
1159,ощущений,88
1160,поведения,243
1161,ученые,3246
1162,неврологии,110
1163,человека,3912
1164,семеля,6
1165,калифорнийского,600
1166,лос-анджелесе,91
1167,используя,315
1168,мрт,135
1169,измеряет,48
1170,областях,176
1171,обнаружили,3360
1172,кундалини-йога,14
1173,сочетает,16
1174,себе,684
1175,движение,144
1176,медитацию,18
1177,фокусируется,36
1178,дыхании,91
1179,повторении,10
1180,мантр,5
1181,ментальной,10
1182,визуализации,120
1183,связность,9
1184,затронута,9
1185,стрессом,168
1186,связана,749
1187,снижением,513
1188,руководством,360
1189,психиатра,54
1190,хелен,20
1191,лаврецки,8
1192,сравнению,2493
1193,золотым,63
1194,стандартом,140
1195,улучшению,117
1196,важной,138
1197,обучения,168
1198,основан,98
1199,методах,84
1200,вербальные,20
1201,визуальные,40
1202,ассоциации,700
1203,практические,48
1204,стратегии,360
1205,улучшения,342
1206,сделали,616
1207,вывод,430
1208,обучение,272
1209,кундалини-йоге,14
1210,по-видимому,143
1211,нацелено,16
1212,связанную,27
1213,воздействовать,266
1214,субрегионы,10
1215,сенсорной,18
1216,интеграции,30
1217,поддерживая,33
1218,лучшую,42
1219,надежность,60
1220,приняли,812
1221,участие,1120
1222,участника,135
1223,частью,174
1224,крупного,136
1225,рандомизированного,36
1226,контролируемого,60
1227,изучающего,10
1228,самоотчетное,12
1229,ухудшение,351
1230,функции,581
1231,предыдущего,99
1232,один,1308
1233,сердечно-сосудистых,1292
1234,факторов,1368
1235,ним,381
1236,относятся,819
1237,накопление,90
1238,бляшек,60
1239,артериях,72
1240,недавний,48
1241,сердечный,90
1242,приступ,91
1243,кровяного,81
1244,давления,496
1245,уровня,1176
1246,холестерина,627
1247,международное,273
1248,агентство,252
1249,изучению,312
1250,маир,16
1251,объединенный,12
1252,комитет,112
1253,пищевым,7
1254,добавкам,8
1255,продовольственной,51
1256,сельскохозяйственной,20
1257,объединенных,48
1258,наций,10
1259,фао,3
1260,выпустили,54
1261,воздействия,572
1262,содержащего,66
1263,сахар,135
1264,подсластителя,13
1265,аспартама,18
1266,отметив,217
1267,ограниченность,14
1268,канцерогенности,60
1269,классифицировало,32
1270,возможно,2032
1271,канцерогенный,39
1272,группа,1278
1273,классификации,117
1274,окэпд,5
1275,подтвердил,340
1276,норму,75
1277,уровне,726
1278,мг/кг,5
1279,сообщал,70
1280,медпортал,117
1281,банке,10
1282,диетического,24
1283,безалкогольного,15
1284,содержится,350
1285,превышения,10
1286,отсутствии,480
1287,источников,200
1288,поступления,132
1289,организм,1472
1290,пищей,105
1291,взрослый,112
1292,массой,78
1293,выпивать,80
1294,банок,5
1295,день.аспартам,13
1296,искусственный,143
1297,подсластитель,13
1298,годов,195
1299,широко,444
1300,используется,840
1301,напитков,200
1302,диетические,44
1303,напитки,126
1304,жевательную,11
1305,резинку,7
1306,желатин,7
1307,мороженое,27
1308,молочную,16
1309,продукцию,108
1310,частности,1449
1311,йогурт,60
1312,готовые,49
1313,сухие,30
1314,завтраки,24
1315,зубной,36
1316,пасты,20
1317,лекарственных,689
1318,леденцы,21
1319,кашля,120
1320,жевательные,22
1321,витамины,112
1322,входит,288
1323,ведущих,252
1324,причин,756
1325,смертности,1770
1326,вызывает,1272
1327,шестую,12
1328,смерти,1440
1329,надеясь,21
1330,эти,1404
1331,людские,7
1332,потери,252
1333,постоянно,927
1334,расширяют,18
1335,направленные,192
1336,оценку,270
1337,инициирующих,12
1338,способствующих,28
1339,онкологических,1260
1340,отметила,520
1341,директор,912
1342,департамента,384
1343,вопросам,264
1344,питания,623
1345,франческа,18
1346,бранка,6
1347,отношении,540
1348,дают,308
1349,всерьез,63
1350,сомневаться,55
1351,дозах,100
1352,которых,3185
1353,обычно,1308
1354,употребляется,39
1355,потенциальные,286
1356,эффекты,595
1357,требуют,357
1358,изучения,368
1359,дополнительных,476
1360,тщательных,20
1361,минут,1225
1362,составе,126
1363,лечебно-диагностического,24
1364,комплекса,72
1365,центр,350
1366,амбулаторной,96
1367,оборудованы,55
1368,современнейших,14
1369,операционных,60
1370,многое,168
1371,лечить,528
1372,сложные,119
1373,виды,264
1374,раке,240
1375,головы,192
1376,шеи,75
1377,щитовидной,220
1378,пищевода,192
1379,желудка,378
1380,репродуктивной,140
1381,системы,1974
1382,поджелудочной,546
1383,трансплантацию,112
1384,новообразованиях,32
1385,заработает,30
1386,высокоточной,12
1387,радиоизотопной,14
1388,пэт/кт,6
1389,офэкт/кт,8
1390,позволят,136
1391,оказывать,342
1392,комплексную,44
1393,медицинскую,308
1394,коморбидным,22
1395,хронических,781
1396,большого,408
1397,столичной,63
1398,системе,392
1399,произошли,81
1400,большие,322
1401,изменения,1278
1402,медицинское,319
1403,направление,297
1404,первым,348
1405,где,669
1406,реализовали,22
1407,заместитель,275
1408,мэра,24
1409,москвы,504
1410,социального,374
1411,анастасия,171
1412,ракова,36
1413,внедрили,16
1414,клиентские,10
1415,быстрого,136
1416,подозрения,90
1417,последующего,84
1418,наблюдения,1040
1419,сформировали,12
1420,каркас,12
1421,города,276
1422,провели,1435
1423,реконструкцию,39
1424,объектов,64
1425,построили,18
1426,самый,505
1427,мощный,60
1428,онкоцентр,45
1429,логинова,16
1430,внедрен,21
1431,стандарт,112
1432,онкопомощи,30
1433,предусматривающий,17
1434,индивидуальный,168
1435,клиентский,10
1436,каждой,366
1437,зависимости,1375
1438,сложности,441
1439,случая,414
1440,открытием,288
1441,министр,133
1442,михаил,210
1443,мурашко,70
1444,московская,90
1445,медицина,416
1446,локомотивом,11
1447,технологии,550
1448,решения,392
1449,внедрение,144
1450,программ,264
1451,интеллекта,160
1452,нацеленное,30
1453,выявление,288
1454,сопровождение,52
1455,недугом,14
1456,стандарта,27
1457,якорные,7
1458,онкологические,518
1459,центры,444
1460,соединившие,11
1461,стационарную,12
1462,амбулаторную,24
1463,оснащенности,12
1464,соответствует,377
1465,передовым,18
1466,мировым,42
1467,стандартам,80
1468,организованы,60
1469,базе,132
1470,стационаров,132
1471,мгоб,4
1472,с.п,3
1473,боткина,63
1474,коммунарка,30
1475,гкоб,4
1476,обследования,984
1477,диспансерного,13
1478,учреждении,140
1479,структуру,144
1480,якорных,7
1481,центров,322
1482,вошли,100
1483,патоморфологические,19
1484,лаборатории,836
1485,чьи,57
1486,серьезно,392
1487,увеличены,36
1488,оснащения,27
1489,закупил,14
1490,единиц,84
1491,современного,156
1492,оборудования,372
1493,позволившего,12
1494,автоматизировать,48
1495,процесс,917
1496,диагностического,144
1497,биоматериала,72
1498,продолжается,360
1499,пилотный,24
1500,проект,186
1501,трансформации,78
1502,патоморфологических,19
1503,создают,119
1504,копии,45
1505,биоматериалов,65
1506,единую,18
1507,гистологических,60
1508,изображений,44
1509,хирургические,260
1510,отделения,558
1511,оснащены,32
1512,оборудованием,195
1513,наименее,40
1514,травматичных,12
1515,малоинвазивных,42
1516,лапороскопических,17
1517,роботических,12
1518,пациенты,2616
1519,нужна,335
1520,лучевая,105
1521,терапия,728
1522,бесплатно,405
1523,больницах,693
1524,частных,133
1525,московских,150
1526,клиниках,200
1527,наращивает,10
1528,собственные,341
1529,мощности,96
1530,корпусе,7
1531,коммунарки,50
1532,заканчивается,156
1533,строительство,39
1534,отвечающего,22
1535,международным,208
1536,4d-лучевой,10
1537,прогрессивные,13
1538,доступны,304
1539,обновляется,44
1540,другая,354
1541,инфраструктура,42
1542,московской,260
1543,создана,105
1544,онкоморфологии,14
1545,молекулярной,396
1546,генетики,128
1547,открыт,66
1548,онкохирургический,17
1549,корпус,42
1550,цаоп,4
1551,городской,243
1552,опережением,22
1553,графика,28
1554,москва,126
1555,регионом,24
1556,досрочно,88
1557,перешёл,7
1558,федеральные,165
1559,рекомендации,1596
1560,распространенных,736
1561,переоснащению,26
1562,диагностических,225
1563,подразделений,39
1564,доступность,143
1565,оперативность,26
1566,городе,210
1567,достаточное,187
1568,количество,3380
